Departamento,Anio,Mes,Tmaxp,Tminp,Precs,Capital
Junin,1992,1,22.125,6.108333333,15.01,Huancayo
Junin,1992,2,20.64166667,7.091304348,88.82,Huancayo
Junin,1992,3,21.16774194,5.632258065,50.21,Huancayo
Junin,1992,4,22.46,3.71,16.8,Huancayo
Junin,1992,5,22.8,1.412903226,3.41,Huancayo
Junin,1992,6,19.98666667,2.673333333,11.5,Huancayo
Junin,1992,7,19.91612903,-0.683870968,2.9,Huancayo
Junin,1992,8,20.25806452,1.838709677,17.6,Huancayo
Junin,1992,9,21.94,2.833333333,15.72,Huancayo
Junin,1992,10,19.72903226,3.277419355,33.42,Huancayo
Junin,1992,11,22.64,3.566666667,67,Huancayo
Junin,1992,12,22.94193548,2.85,36.6,Huancayo
Junin,1993,1,19.6,4.341935484,112,Huancayo
Junin,1993,2,20.05714286,4.871428571,106.4,Huancayo
Junin,1993,3,19.32258065,4.587096774,109.1,Huancayo
Junin,1993,4,20.38666667,3.9,88.54,Huancayo
Junin,1993,5,21.49032258,1.019354839,23.4,Huancayo
Junin,1993,6,21.9,-3.313333333,1.8,Huancayo
Junin,1993,7,21.78064516,-0.716129032,3.4,Huancayo
Junin,1993,8,21.17419355,-0.219354839,13,Huancayo
Junin,1993,9,20.99333333,2.693333333,14.5,Huancayo
Junin,1993,10,19.90322581,2.987096774,19.61,Huancayo
Junin,1993,11,20.44666667,5.326666667,63.21,Huancayo
Junin,1993,12,20.20645161,5.503225806,66.23,Huancayo
Junin,1994,1,20.39354839,4.8,100.4,Huancayo
Junin,1994,2,18.96428571,5.128571429,76.81,Huancayo
Junin,1994,3,20.06451613,6.109677419,62.8,Huancayo
Junin,1994,4,20.62,3.403333333,36.8,Huancayo
Junin,1994,5,22.12258065,0.187096774,16.6,Huancayo
Junin,1994,6,21.33666667,-0.906666667,6,Huancayo
Junin,1994,7,22.18709677,-0.819354839,0,Huancayo
Junin,1994,8,22.22258065,0.267741935,5.7,Huancayo
Junin,1994,9,21.35333333,3.933333333,5.31,Huancayo
Junin,1994,10,22.94193548,4.080645161,44.81,Huancayo
Junin,1994,11,22.21333333,6.04,63.9,Huancayo
Junin,1994,12,21.49032258,6.929032258,94.8,Huancayo
Junin,1995,1,19.38387097,6.090322581,77.61,Huancayo
Junin,1995,2,19.88214286,6.375,78.7,Huancayo
Junin,1995,3,18.98064516,6.380645161,108.2,Huancayo
Junin,1995,4,21.30333333,4.213333333,19.8,Huancayo
Junin,1995,5,21.98709677,1.180645161,7.4,Huancayo
Junin,1995,6,21.45,0.03,1.51,Huancayo
Junin,1995,7,22.41935484,0.2,6.4,Huancayo
Junin,1995,8,23.49677419,1.496774194,8.7,Huancayo
Junin,1995,9,21.89,2.8,17.8,Huancayo
Junin,1995,10,22.47741935,4.638709677,86.72,Huancayo
Junin,1995,11,21.48333333,5.3,76.81,Huancayo
Junin,1995,12,21.31935484,6.04516129,120.1,Huancayo
Junin,1996,1,18.74193548,6.34516129,113.71,Huancayo
Junin,1996,2,17.98275862,6.324137931,90.51,Huancayo
Junin,1996,3,18.91290323,5.567741935,107.2,Huancayo
Junin,1996,4,19.22,5.286666667,71.4,Huancayo
Junin,1996,5,20.57419355,1.903225806,3.81,Huancayo
Junin,1996,6,19.86333333,-0.906666667,1.02,Huancayo
Junin,1996,7,20.42258065,-1.24516129,0,Huancayo
Junin,1996,8,20.69677419,3.412903226,3.34,Huancayo
Junin,1996,9,21.06333333,4.74,39.11,Huancayo
Junin,1996,10,22.07419355,5.677419355,40.7,Huancayo
Junin,1996,11,22.06,5.103333333,50.3,Huancayo
Junin,1996,12,18.78571429,5.942857143,96.4,Huancayo
Junin,1997,1,17.816,7.641666667,120.9,Huancayo
Junin,1997,2,17.03571429,6.557142857,146.3,Huancayo
Junin,1997,3,19.10322581,5.277419355,60.9,Huancayo
Junin,1997,4,19.39333333,2.853333333,30.3,Huancayo
Junin,1997,5,19.72258065,1.95483871,3.31,Huancayo
Junin,1997,6,20.10666667,-1.39,2.1,Huancayo
Junin,1997,7,19.77419355,-1.209677419,2.4,Huancayo
Junin,1997,8,18.75483871,2.909677419,20.2,Huancayo
Junin,1997,9,20.71333333,3.836666667,32.4,Huancayo
Junin,1997,10,21.1483871,7.116129032,46,Huancayo
Junin,1997,11,19.81666667,7.47,74.2,Huancayo
Junin,1997,12,19.62580645,7.441935484,155.8,Huancayo
Junin,1998,1,18.94516129,8.470967742,182.3,Huancayo
Junin,1998,2,19.71428571,8.771428571,181.9,Huancayo
Junin,1998,3,19.21935484,7.558064516,56.3,Huancayo
Junin,1998,4,21.19666667,6.206666667,71.1,Huancayo
Junin,1998,5,21.59677419,1.877419355,7.6,Huancayo
Junin,1998,6,19.85333333,1.486666667,7,Huancayo
Junin,1998,7,20.08387097,-1.074193548,0,Huancayo
Junin,1998,8,20.41290323,2.874193548,7.6,Huancayo
Junin,1998,9,21.21,2.77,27.7,Huancayo
Junin,1998,10,20.43870968,7.035483871,94.4,Huancayo
Junin,1998,11,20.79666667,6.026666667,89.9,Huancayo
Junin,1998,12,19.2483871,6.616129032,88.1,Huancayo
Junin,1999,1,18.88387097,6.941935484,83.6,Huancayo
Junin,1999,2,17.21071429,6.857142857,159.8,Huancayo
Junin,1999,3,17.89354839,7.022580645,81.5,Huancayo
Junin,1999,4,18.02333333,5.173333333,31.6,Huancayo
Junin,1999,5,19.65483871,2.332258065,6.2,Huancayo
Junin,1999,6,20.11333333,0.1,20.4,Huancayo
Junin,1999,7,19.25483871,-0.329032258,11.1,Huancayo
Junin,1999,8,20.71290323,0.303225806,3.6,Huancayo
Junin,1999,9,20.09333333,3.89,60.5,Huancayo
Junin,1999,10,18.44193548,4.441935484,67.4,Huancayo
Junin,1999,11,21.29,4.94,102,Huancayo
Junin,1999,12,19.1483871,6.316129032,86.6,Huancayo
Junin,2000,1,17.89677419,7.164516129,103.6,Huancayo
Junin,2000,2,17.7862069,6.817241379,138.2,Huancayo
Junin,2000,3,17.15483871,6.122580645,89.3,Huancayo
Junin,2000,4,18.53666667,3.623333333,39.6,Huancayo
Junin,2000,5,20.03870968,2.803225806,15,Huancayo
Junin,2000,6,20.45333333,2.2,1.8,Huancayo
Junin,2000,7,19.36774194,0.306451613,7.3,Huancayo
Junin,2000,8,19.60645161,2.529032258,21.4,Huancayo
Junin,2000,9,21.16,3.56,5.5,Huancayo
Junin,2000,10,19.33225806,5.138709677,60.1,Huancayo
Junin,2000,11,22.39333333,3.473333333,43,Huancayo
Junin,2000,12,20.13548387,5.161290323,82.2,Huancayo
Junin,2001,1,17.58709677,7.438709677,108.9,Huancayo
Junin,2001,2,18.42857143,7.317857143,117.5,Huancayo
Junin,2001,3,17.65483871,7.125806452,178.6,Huancayo
Junin,2001,4,18.88333333,3.043333333,31.5,Huancayo
Junin,2001,5,20.60322581,2.806451613,9.9,Huancayo
Junin,2001,6,19.21,-0.563333333,0.8,Huancayo
Junin,2001,7,20.00645161,1.787096774,8.4,Huancayo
Junin,2001,8,19.67419355,0.322580645,4.1,Huancayo
Junin,2001,9,19.51333333,4.38,40.2,Huancayo
Junin,2001,10,20.48064516,6.429032258,78.3,Huancayo
Junin,2001,11,20.39333333,6.57,71.3,Huancayo
Junin,2001,12,20.64193548,6.170967742,120.7,Huancayo
Junin,2002,1,20.02903226,5.812903226,67.2,Huancayo
Junin,2002,2,18.58928571,7.164285714,112.3,Huancayo
Junin,2002,3,19.17096774,7.051612903,127.4,Huancayo
Junin,2002,4,19.21,5.85,36.5,Huancayo
Junin,2002,5,20.12903226,2.548387097,12.1,Huancayo
Junin,2002,6,19.47333333,0.693333333,1.5,Huancayo
Junin,2002,7,18.50322581,2.25483871,24.3,Huancayo
Junin,2002,8,19.51290323,1.725806452,21.9,Huancayo
Junin,2002,9,19.42,5.18,62.2,Huancayo
Junin,2002,10,19.77419355,6.161290323,84.8,Huancayo
Junin,2002,11,19.45,6,149.1,Huancayo
Junin,2002,12,20.49032258,6.603225806,124.2,Huancayo
Junin,2003,1,19.58709677,6.674193548,95.5,Huancayo
Junin,2003,2,19.26785714,6.821428571,121.2,Huancayo
Junin,2003,3,18.37096774,7.022580645,166.9,Huancayo
Junin,2003,4,19.20666667,5.22,64.3,Huancayo
Junin,2003,5,19.88387097,4.012903226,30.9,Huancayo
Junin,2003,6,20.20666667,1.016666667,0,Huancayo
Junin,2003,7,19.60322581,-0.880645161,0.5,Huancayo
Junin,2003,8,19.9483871,2.006451613,21,Huancayo
Junin,2003,9,20.37,3.366666667,25.4,Huancayo
Junin,2003,10,21.71935484,4.135483871,25.7,Huancayo
Junin,2003,11,21.96333333,4.16,83.8,Huancayo
Junin,2003,12,19.14516129,6.861290323,166.4,Huancayo
Junin,2004,1,21.19677419,6.612903226,71.3,Huancayo
Junin,2004,2,19.35172414,6.572413793,136.4,Huancayo
Junin,2004,3,19.12580645,5.961290323,78.3,Huancayo
Junin,2004,4,20.24333333,3.026666667,29.5,Huancayo
Junin,2004,5,21.22903226,1.283870968,13.3,Huancayo
Junin,2004,6,19.24666667,0.166666667,11,Huancayo
Junin,2004,7,19.27096774,0.758064516,9.9,Huancayo
Junin,2004,8,18.91290323,1.122580645,11.7,Huancayo
Junin,2004,9,18.95,3.76,35.4,Huancayo
Junin,2004,10,19.96451613,5.6,37.7,Huancayo
Junin,2004,11,21.26333333,4.87,95.9,Huancayo
Junin,2004,12,19.36774194,6.335483871,126.9,Huancayo
Junin,2005,1,20.38709677,4.95483871,50.8,Huancayo
Junin,2005,2,20.57142857,6.539285714,120.8,Huancayo
Junin,2005,3,19.75483871,6.432258065,87.5,Huancayo
Junin,2005,4,20.62666667,4.19,26.8,Huancayo
Junin,2005,5,21.84193548,0.967741935,5.2,Huancayo
Junin,2005,6,20.99666667,-0.92,12,Huancayo
Junin,2005,7,20.83225806,-1.348387097,2.6,Huancayo
Junin,2005,8,21.60322581,-0.238709677,0.4,Huancayo
Junin,2005,9,21.31666667,3.413333333,13.1,Huancayo
Junin,2005,10,20.52258065,5.225806452,129.8,Huancayo
Junin,2005,11,22.05333333,4.133333333,60,Huancayo
Junin,2005,12,19.3483871,6.574193548,134.7,Huancayo
Junin,2006,1,19.48333333,6.751612903,178.3,Huancayo
Junin,2006,2,19.30714286,6.767857143,91,Huancayo
Junin,2006,3,18.61935484,6.470967742,91.7,Huancayo
Junin,2006,4,19.83333333,4.576666667,28.5,Huancayo
Junin,2006,5,21.09677419,-0.106451613,1.4,Huancayo
Junin,2006,6,20.38333333,1.1,6.4,Huancayo
Junin,2006,7,20.40645161,-1.890322581,5.1,Huancayo
Junin,2006,8,20.4516129,2.506451613,12.1,Huancayo
Junin,2006,9,20.58333333,3.89,41.4,Huancayo
Junin,2006,10,20.77741935,5.838709677,57.6,Huancayo
Junin,2006,11,19.72,6.3,73.2,Huancayo
Junin,2006,12,20.82580645,7.112903226,143.1,Huancayo
Junin,2007,1,20.73225806,6.74516129,104,Huancayo
Junin,2007,2,20.51428571,6.578571429,75.5,Huancayo
Junin,2007,3,18.51612903,6.829032258,150.7,Huancayo
Junin,2007,4,19.52,5.56,37.2,Huancayo
Junin,2007,5,20.93225806,2.764516129,13.7,Huancayo
Junin,2007,6,20.9,-0.76,0,Huancayo
Junin,2007,7,20.41935484,0.822580645,6.3,Huancayo
Junin,2007,8,21.20645161,1.080645161,13.6,Huancayo
Junin,2007,9,19.67333333,3.763333333,20.8,Huancayo
Junin,2007,10,21.45806452,4.706451613,56.9,Huancayo
Junin,2007,11,21.61,5.033333333,59.8,Huancayo
Junin,2007,12,20.5,5.567741935,74.5,Huancayo
Junin,2008,1,18.57096774,7.470967742,116,Huancayo
Junin,2008,2,18.76206897,5.779310345,94.5,Huancayo
Junin,2008,3,18.63870968,4.670967742,46.3,Huancayo
Junin,2008,4,20.77,3.526666667,24.7,Huancayo
Junin,2008,5,21.01612903,0.938709677,11,Huancayo
Junin,2008,6,20.57,0.066666667,11.1,Huancayo
Junin,2008,7,20.5483871,-1.019354839,0,Huancayo
Junin,2008,8,21.38064516,1.329032258,6.2,Huancayo
Junin,2008,9,21.34333333,3.263333333,45.7,Huancayo
Junin,2008,10,20.15806452,5.541935484,117.4,Huancayo
Junin,2008,11,21.89666667,5.523333333,48.9,Huancayo
Junin,2008,12,20.95806452,6.335483871,97.5,Huancayo
Junin,2009,1,19.19677419,6.44516129,94.7,Huancayo
Junin,2009,2,19.03214286,7.257142857,102.8,Huancayo
Junin,2009,3,18.51612903,6.125806452,120.9,Huancayo
Junin,2009,4,19.56666667,4.24,84.2,Huancayo
Junin,2009,5,20.83548387,2.503225806,11,Huancayo
Junin,2009,6,21.17666667,-0.02,1.8,Huancayo
Junin,2009,7,20.63225806,0.64516129,7.6,Huancayo
Junin,2009,8,21.78064516,2.219354839,23.3,Huancayo
Junin,2009,9,21.47,3.666666667,39.1,Huancayo
Junin,2009,10,21.57741935,4.741935484,48.4,Huancayo
Junin,2009,11,21.09666667,6.55,129.1,Huancayo
Junin,2009,12,19.89032258,7.129032258,133.2,Huancayo
Junin,2010,1,19.43548387,7.2,142.9,Huancayo
Junin,2010,2,20.325,7.328571429,151,Huancayo
Junin,2010,3,20.02903226,6.893548387,84.1,Huancayo
Junin,2010,4,20.92,4.873333333,26.9,Huancayo
Junin,2010,5,22.03870968,2.432258065,0.7,Huancayo
Junin,2010,6,21.25333333,0.693333333,3.1,Huancayo
